Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,Review,Genre,Country
2025-02-23,Parthenope,2024,https://boxd.it/8VzDLd,4.0,,,2025-02-23,“Alla fine della vita resterà solo l’ironia“,Drama,"France, Italy"
2025-03-08,My Old Ass,2024,https://boxd.it/93mW99,2.0,,,2025-03-06,,"Comedy, Drama",United States of America
2025-05-07,A Complete Unknown,2024,https://boxd.it/9CRWPr,2.5,,,2025-03-08,,"Drama, Music",United States of America
2025-03-10,The Brutalist,2024,https://boxd.it/94F2gb,3.5,,,2025-03-09,,Drama,"United Kingdom, United States of America"
2025-05-07,Triangle of Sadness,2022,https://boxd.it/9CQw27,2.5,,,2025-03-10,,"Comedy, Drama","Denmark, France, Germany, Greece, Mexico, Sweden, Switzerland, Turkey, United Kingdom, United States of America"
2025-03-17,The Gorge,2025,https://boxd.it/98SOqb,3.0,,,2025-03-14,,"Romance, Science Fiction, Thriller",United States of America
2025-05-07,Without Her,2022,https://boxd.it/9CQsr3,2.0,,,2025-04-04,,"Thriller, Mystery",Iran
2025-05-07,A Relic of the South,2024,https://boxd.it/9CQtvl,2.5,,,2025-04-07,,Unknown,Unknown
2025-05-07,Entourage,2015,https://boxd.it/9CQcRf,2.5,,,2025-04-12,,"Comedy, Drama",United States of America
2025-05-07,Game Night,2018,https://boxd.it/9CQeGX,2.0,,,2025-04-13,,"Mystery, Comedy, Crime",United States of America
2025-05-07,Bad Teacher,2011,https://boxd.it/9CQhk1,3.0,,,2025-04-17,,Comedy,United States of America
2025-05-07,EuroTrip,2004,https://boxd.it/9CQj2j,2.0,,,2025-05-03,,Comedy,United States of America
2025-05-07,Finding You,2021,https://boxd.it/9CQprz,2.5,,,2025-05-04,,"Romance, Drama",United States of America
2025-05-11,Vanilla Sky,2001,https://boxd.it/9F2beX,3.0,,,2025-05-10,,"Mystery, Romance, Science Fiction","United States of America, Spain"
2025-05-23,Perfect Days,2023,https://boxd.it/9LEh0x,3.5,,,2025-05-22,,Drama,"Germany, Japan"
2025-05-26,The Great Beauty,2013,https://boxd.it/9NxC3B,3.5,,,2025-05-25,Voglio essere un gatto in Roma.,Drama,"France, Italy"
2025-05-26,Mickey 17,2025,https://boxd.it/9NQaDT,3.0,,,2025-05-25,I want a Nasha.,"Science Fiction, Comedy, Adventure","United States of America, United Kingdom"
2025-05-31,Leap Year,2010,https://boxd.it/9R27vD,3.0,,,2025-05-30,,"Romance, Comedy","Ireland, United States of America"
